id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,1002374,0,0,1295,965,344.25,166.03125,1.0267775058746338,0.950187087059021,0,0,1296,966
1,6516,453,424,114,79,465.75,467.90625,1.0062973499298096,0.9893064498901367,0,0,1296,966
2,6040,616,867,93,98,627.75,950.90625,1.0007377862930298,0.990110456943512,0,0,1296,966
3,7048,632,430,110,81,668.25,498.09375,0.9962162971496582,0.9884360432624817,0,0,1296,966
4,6914,1133,545,95,112,1194.75,649.03125,0.9950453042984009,0.9717667102813721,0,0,1296,966
5,10365,900,251,112,165,992.25,347.15625,0.9948725700378418,0.9791865348815918,0,0,1296,966
6,5763,56,448,104,81,101.25,467.90625,0.9931952357292175,0.9831586480140686,0,0,1296,966
7,7321,575,687,87,124,587.25,739.59375,0.9839656352996826,0.9753202795982361,0,0,1296,966
8,1983,127,419,56,45,141.75,437.71875,0.9839155673980713,0.9874749779701233,0,0,1296,966
9,11522,1204,779,91,185,1235.25,920.71875,0.9836283326148987,0.9772844314575195,0,0,1296,966
10,2155,1145,132,56,56,1154.25,166.03125,0.9810783863067627,0.9726402163505554,0,0,1296,966
11,7024,797,645,121,234,830.25,830.15625,0.9808856248855591,0.9817745089530945,0,0,1296,966
12,34567,378,689,329,275,465.75,890.53125,0.9801164865493774,0.9560253024101257,0,0,1296,966
13,2117,510,500,70,76,546.75,528.28125,0.9763956665992737,0.9868420958518982,0,0,1296,966
14,2361,1157,288,42,71,1194.75,347.15625,0.9762234687805176,0.9832425713539124,0,0,1296,966
15,4747,468,97,82,73,506.25,105.65625,0.975961446762085,0.9834969639778137,0,0,1296,966
16,11182,861,497,109,149,911.25,618.84375,0.9714226722717285,0.9752890467643738,0,0,1296,966
17,10166,890,717,99,187,951.75,890.53125,0.9704115390777588,0.9656739234924316,0,0,1296,966
18,942,1250,72,33,37,1275.75,75.46875,0.9697698950767517,0.9821615815162659,0,0,1296,966
19,2890,478,690,66,55,506.25,739.59375,0.9692279100418091,0.9832077026367188,0,0,1296,966
20,6188,348,276,93,99,384.75,286.78125,0.9691685438156128,0.9768444299697876,0,0,1296,966
21,4243,476,0,141,113,506.25,45.28125,0.9688076972961426,0.9813432693481445,0,0,1296,966
22,3832,127,377,56,87,141.75,407.53125,0.9686827659606934,0.979850172996521,0,0,1296,966
23,1675,1271,874,24,91,1275.75,920.71875,0.9683189392089844,0.983995258808136,0,0,1296,966
24,787,158,322,31,36,182.25,347.15625,0.9682930707931519,0.9924050569534302,0,0,1296,966
25,1884,130,376,51,49,141.75,407.53125,0.9681199193000793,0.978980541229248,0,0,1296,966
