id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,1069059,0,0,1295,962,911.25,709.40625,1.0533736944198608,0.9505691528320312,0,0,1296,966
1,8220,729,748,119,102,749.25,830.15625,1.0154129266738892,0.9917615652084351,0,0,1296,966
2,6621,634,537,86,106,668.25,558.46875,1.0045603513717651,0.9871180057525635,0,0,1296,966
3,6979,664,853,88,103,668.25,920.71875,1.0041135549545288,0.9881817102432251,0,0,1296,966
4,2352,744,8,56,53,749.25,15.09375,1.0026451349258423,0.9940627813339233,0,0,1296,966
5,3381,675,35,82,58,749.25,75.46875,1.0000771284103394,0.9908742904663086,0,0,1296,966
6,4512,736,82,72,83,789.75,135.84375,0.9988682270050049,0.9924944639205933,0,0,1296,966
7,13167,887,478,113,165,911.25,618.84375,0.9961400628089905,0.9852896928787231,0,0,1296,966
8,3035,570,25,88,44,587.25,45.28125,0.9955680966377258,0.9895185232162476,0,0,1296,966
9,4933,505,371,66,104,546.75,467.90625,0.9949072599411011,0.9735735654830933,0,0,1296,966
10,1976,1264,0,31,91,1275.75,45.28125,0.9936603307723999,0.9929400086402893,0,0,1296,966
11,6214,336,365,77,115,384.75,437.71875,0.9889601469039917,0.9758192896842957,0,0,1296,966
12,2309,822,70,56,54,870.75,105.65625,0.9874653816223145,0.9913681745529175,0,0,1296,966
13,5708,803,570,90,78,830.25,588.65625,0.9859666228294373,0.9828005433082581,0,0,1296,966
14,2388,806,0,72,46,870.75,15.09375,0.9843035340309143,0.9891530871391296,0,0,1296,966
15,14185,1175,263,120,166,1275.75,377.34375,0.9842883348464966,0.9807087182998657,0,0,1296,966
16,2514,224,347,66,46,222.75,377.34375,0.9835790395736694,0.9873717427253723,0,0,1296,966
17,1463,651,648,47,40,668.25,649.03125,0.9835480451583862,0.977042555809021,0,0,1296,966
18,3436,670,681,62,77,708.75,709.40625,0.982993483543396,0.9872722029685974,0,0,1296,966
