id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,2738,0,0,102,36,100.0,11.25,1.0017647743225098,0.984425961971283,0,0,1280,720
1,25221,967,591,290,127,1220.0,663.75,0.9952616691589355,0.9756488800048828,0,0,1280,720
2,22142,779,101,219,142,860.0,101.25,0.990822970867157,0.9734296202659607,0,0,1280,720
3,59463,1005,0,274,453,1180.0,11.25,0.9869577884674072,0.9591605067253113,0,0,1280,720
4,2792,678,662,90,50,700.0,686.25,0.9861198663711548,0.980844259262085,0,0,1280,720
5,22137,778,19,265,224,820.0,213.75,0.9857259392738342,0.9702250957489014,0,0,1280,720
6,15046,611,0,185,135,660.0,33.75,0.9841434359550476,0.9618805050849915,0,0,1280,720
7,44553,511,283,219,403,660.0,506.25,0.9832433462142944,0.9561845064163208,0,0,1280,720
8,13580,251,286,190,120,380.0,303.75,0.983232319355011,0.9771420359611511,0,0,1280,720
9,16933,214,391,160,189,300.0,461.25,0.9812093377113342,0.9761946201324463,0,0,1280,720
10,9817,402,123,118,121,460.0,168.75,0.9807380437850952,0.9759387969970703,0,0,1280,720
11,20253,850,0,203,122,940.0,101.25,0.9802777171134949,0.9738613367080688,0,0,1280,720
12,22076,41,218,176,248,100.0,326.25,0.9802194237709045,0.9738442301750183,0,0,1280,720
13,48756,954,178,303,275,1100.0,326.25,0.9792263507843018,0.9511774182319641,0,0,1280,720
14,2082,133,653,51,66,140.0,686.25,0.9775559902191162,0.9894887804985046,0,0,1280,720
15,21745,1133,425,146,292,1220.0,506.25,0.9775543212890625,0.973562479019165,0,0,1280,720
16,18027,758,332,214,137,940.0,371.25,0.9773883819580078,0.9515473246574402,0,0,1280,720
17,4013,458,0,85,62,500.0,33.75,0.977368175983429,0.967852771282196,0,0,1280,720
18,21749,249,211,191,195,340.0,258.75,0.9772368669509888,0.9600648880004883,0,0,1280,720
19,1381,627,548,48,57,660.0,573.75,0.9768101572990417,0.9834888577461243,0,0,1280,720
20,10843,391,627,208,92,540.0,708.75,0.9743553400039673,0.9670379161834717,0,0,1280,720
21,5710,271,639,115,79,300.0,663.75,0.9738659858703613,0.9656659960746765,0,0,1280,720
22,9685,148,603,143,115,260.0,708.75,0.9738625884056091,0.9633614420890808,0,0,1280,720
23,985,631,137,42,30,660.0,146.25,0.9731197357177734,0.9809045195579529,0,0,1280,720
24,15668,148,604,238,114,260.0,708.75,0.9729022979736328,0.9723777770996094,0,0,1280,720
25,1606,1086,688,82,31,1100.0,708.75,0.972230851650238,0.9876161217689514,0,0,1280,720
26,5820,966,446,92,91,980.0,506.25,0.9720016717910767,0.970872163772583,0,0,1280,720
27,28677,214,338,217,251,380.0,483.75,0.9712328910827637,0.9593804478645325,0,0,1280,720
28,7102,389,230,127,106,420.0,258.75,0.9709285497665405,0.9591355919837952,0,0,1280,720
29,3465,445,332,78,60,460.0,348.75,0.9703884124755859,0.9837003350257874,0,0,1280,720
30,11612,342,338,95,241,380.0,416.25,0.9700725674629211,0.9732415676116943,0,0,1280,720
31,3718,0,655,75,64,60.0,686.25,0.969849705696106,0.9744068384170532,0,0,1280,720
32,2657,967,658,89,61,980.0,663.75,0.9695363640785217,0.9783985018730164,0,0,1280,720
33,2394,734,617,170,36,900.0,641.25,0.9686374664306641,0.9793388247489929,0,0,1280,720
34,2495,586,263,65,55,620.0,281.25,0.9677440524101257,0.9801350831985474,0,0,1280,720
35,47465,967,429,312,289,1060.0,686.25,0.9673718214035034,0.9551371335983276,0,0,1280,720
36,8104,310,0,116,97,380.0,56.25,0.967019259929657,0.9740560054779053,0,0,1280,720
